receptor_set,brain_map,adj_r2,moran_p
D1,xcoef_std_m2_math_gmv,0.13936102609521017,0.014797040591881624
D1,xloading_m2_math_gmv,0.21513363629679227,0.02399520095980804
D2,xcoef_std_m2_math_gmv,-0.000741199674091364,0.6286742651469706
D2,xloading_m2_math_gmv,0.0039606952009827445,0.5276944611077784
DAT,xcoef_std_m2_math_gmv,0.04425876973145648,0.17876424715056988
DAT,xloading_m2_math_gmv,0.17771829013572593,0.025994801039792043
mGluR5,xcoef_std_m2_math_gmv,0.08724115243566266,0.042191561687662464
mGluR5,xloading_m2_math_gmv,0.11649142938253432,0.08898220355928814
NMDA,xcoef_std_m2_math_gmv,0.12687924828990527,0.001799640071985603
NMDA,xloading_m2_math_gmv,0.14754619874611663,0.001999600079984003
GABAa,xcoef_std_m2_math_gmv,0.06259848753645392,0.05898820235952809
GABAa,xloading_m2_math_gmv,0.05167919418318068,0.4065186962607478
5HT1a,xcoef_std_m2_math_gmv,-0.003395377275007272,0.7756448710257948
5HT1a,xloading_m2_math_gmv,0.01563318679866843,0.3787242551489702
5HT1b,xcoef_std_m2_math_gmv,0.005190526117753613,0.5634873025394921
5HT1b,xloading_m2_math_gmv,-0.0035714689593715487,0.8138372325534893
5HT2a,xcoef_std_m2_math_gmv,-0.004228084412186028,0.8750249950009998
5HT2a,xloading_m2_math_gmv,0.018358521883350076,0.3833233353329334
5HT4,xcoef_std_m2_math_gmv,0.0010192320836081015,0.6224755048990201
5HT4,xloading_m2_math_gmv,0.003331033311272158,0.5934813037392521
5HT6,xcoef_std_m2_math_gmv,0.016196294820692847,0.3023395320935813
5HT6,xloading_m2_math_gmv,0.016287498814605117,0.40591881623675263
5HTT,xcoef_std_m2_math_gmv,0.03378697354509719,0.1829634073185363
5HTT,xloading_m2_math_gmv,0.1266966186167574,0.022795440911817635
A4B2,xcoef_std_m2_math_gmv,0.028123222776509915,0.33833233353329334
A4B2,xloading_m2_math_gmv,0.06290028385899626,0.0655868826234753
M1,xcoef_std_m2_math_gmv,0.0005914380981123513,0.5300939812037593
M1,xloading_m2_math_gmv,-0.0044371934140055025,0.9134173165366927
VAChT,xcoef_std_m2_math_gmv,0.10254998411628857,0.046790641871625675
VAChT,xloading_m2_math_gmv,0.33948271419925335,0.0001999600079984003
NET,xcoef_std_m2_math_gmv,0.026204873918800442,0.2669466106778644
NET,xloading_m2_math_gmv,0.08293746693122894,0.03759248150369926
CB1,xcoef_std_m2_math_gmv,0.0009556273706289309,0.47450509898020393
CB1,xloading_m2_math_gmv,0.007041698621129688,0.3065386922615477
H3,xcoef_std_m2_math_gmv,0.14817132179070547,0.003799240151969606
H3,xloading_m2_math_gmv,0.2397671242077939,0.0001999600079984003
MOR,xcoef_std_m2_math_gmv,0.012484982289939106,0.30033993201359727
MOR,xloading_m2_math_gmv,0.03671821499831518,0.14177164567086584
