"Region ID","Gyrus","Description","Region Alias","Region Label","Shier_ID","Shier_network"
49,"Prefrontal Cortex","OrG_L_6_5","A13, area 13","OrG_L_6_5",10,"dDMN"
50,"Prefrontal Cortex","OrG_R_6_5","A13, area 13","OrG_R_6_5",1,"Auditory"
72,"Superior Temporal Gyrus","STG_R_6_2","A41/42, area 41/42","STG_R_6_2",1,"Auditory"
73,"Superior Temporal Gyrus","STG_L_6_3","TE1.0 and TE1.2","STG_L_6_3",1,"Auditory"
153,"PCC, Precuneus","Pcun_L_4_4","A31, area 31 (Lc1)","Pcun_L_4_4",10,"dDMN"
154,"PCC, Precuneus","Pcun_R_4_4","A31, area 31 (Lc1)","Pcun_R_4_4",10,"dDMN"
163,"Prefrontal Cortex","INS_L_6_1","G, hypergranular insular","INS_L_6_1",12,"pSalience"
164,"Prefrontal Cortex","INS_R_6_1","G, hypergranular insular","INS_R_6_1",1,"Auditory"
169,"Prefrontal Cortex","INS_L_6_4","vId/vIg, ventral granular insular","INS_L_6_4",12,"pSalience"
170,"Prefrontal Cortex","INS_R_6_4","vId/vIg, ventral granular insular","INS_R_6_4",12,"pSalience"
171,"Prefrontal Cortex","INS_L_6_5","dIg, dorsal granular insular","INS_L_6_5",1,"Auditory"
172,"Prefrontal Cortex","INS_R_6_5","dIg, dorsal granular insular","INS_R_6_5",1,"Auditory"
173,"Prefrontal Cortex","INS_L_6_6","dId, dorsal dysgranular insular","INS_L_6_6",9,"aSalience"
175,"Cingulate Gyrus","CG_L_7_1","A23d, dorsal area 23","CG_L_7_1",10,"dDMN"
176,"Cingulate Gyrus","CG_R_7_1","A23d, dorsal area 23","CG_R_7_1",10,"dDMN"
178,"Cingulate Gyrus","CG_R_7_2","A24rv, rostroventral area 24","CG_R_7_2",10,"dDMN"
187,"Cingulate Gyrus","CG_L_7_7","A32sg, subgenual area 32","CG_L_7_7",10,"dDMN"
188,"Cingulate Gyrus","CG_R_7_7","A32sg, subgenual area 32","CG_R_7_7",10,"dDMN"
